evolution,EVOLUTION,evolution,1000000,https://cdn.sellatuparley.com/websella/img/iconos/evolution.png,casino_id
onetouch,ONETOUCH,onetouchlive,20749,https://cdn.sellatuparley.com/websella/img/casinolive/Onetouch_live88.webp,casino_id
ezugi,Ezugi,ezugi,1000000,https://cdn.sellatuparley.com/s4pwa/SLIDER_DESKTOP/SLIDER_DESKTOP-1705963060.webp,casino_id
sprintgaming,SPRINT GAMING,sprintgaming,sprintgaming,https://cdn.sellatuparley.com/websella/img/iconos/sprintgaming.png,casino_id
pragmatic,PRAGMATIC PLAY,pragmatic,101,https://cdn.sellatuparley.com/websella/img/iconos/pragmatic.png,casino_id
platipus,PLATIPUS,platipus,platipus,https://cdn.sellatuparley.com/s4pwa/Banners_Torneos/Banners_Torneos-1727109961.webp,casino
amusnet,AMUSNET,amusnet,amusnet,https://cdn.sellatuparley.com/s4pwa/SLIDER_MOBILE/SLIDER_MOBILE-1727276189.webp,casino
iconic21,ICONIC21,iconic21,iconic21,https://cdn.sellatuparley.com/websella/img/iconos/iconic21.webp,casino
platipus,LIVE ROULETTE FRENCH,platipus,625,https://cdn.sellatuparley.com/websella/img/casinolive/liveroulettefrench.png,game
platipus,LIVE ROULETTE FRENCH VIP,platipus,626,https://cdn.sellatuparley.com/websella/img/casinolive/liveroulettefrenchvip.png,game
platipus,RULETA EN VIVO EUROPA,platipus,602,https://cdn.sellatuparley.com/s4pwa/Banners_Torneos/Banners_Torneos-1727099095.png,game
platipus,VIP RULETA EN VIVO EUROPA,platipus,615,https://cdn.sellatuparley.com/s4pwa/Banners_Torneos/Banners_Torneos-1727099175.png,game
amusnet,EXTRA CROWN DELUXE LIVE,amusnet,3400,https://cdn.sellatuparley.com/websella/img/casinolive/Extra_Crown_Deluxe_Live.png,game
amusnet,VEGAS ROULETTE 500X,amusnet,38,https://cdn.sellatuparley.com/websella/img/amusnet/VirtualVegasRoulette500x.png,game
amusnet,LIVE ROULETTE BULGARIAN,amusnet,39,https://cdn.sellatuparley.com/websella/img/amusnet/LiveRouletteBulgarian.png,game
amusnet,VIRTUAL VEGAS ROULETTE 500x,amusnet,603,https://cdn.sellatuparley.com/websella/img/amusnet/Dynamic_Roulette_x120.png,game
amusnet,VIRTUAL MONACO ROULETTE 72x,amusnet,605,https://cdn.sellatuparley.com/websella/img/amusnet/VirtualMonacoRoulette72x.png,game
amusnet,LIVE ALTIN RULET,amusnet,43,https://cdn.sellatuparley.com/websella/img/amusnet/LiveAltınRulet.png,game
amusnet,ONYX AUTO ROULETTE,amusnet,29,https://cdn.sellatuparley.com/websella/img/amusnet/Onyx_Auto_Roulette.png,game
amusnet,LIVE EUROPEAN ROULETTE,amusnet,19,https://cdn.sellatuparley.com/websella/img/amusnet/live_european_roulettte.png,game
amusnet,DYNAMIC ROULETTE 120X,amusnet,15,https://cdn.sellatuparley.com/websella/img/amusnet/Dynamic_Roulette_x120.png,game
