189,zooball,ZooBall,slots
184,legendary-outlaws,Legendary Outlaws,slots
170,space-pals,Space Pals,slots
162,norsemen,Norsemen,slots
152,cleopatra-vii,Cleopatra VII,slots
100,candy-ca$h,Candy Ca$h,slots
177,mr-and-mrs-joker,Mr and Mrs Joker,slots
151,bonnies-clyde,Bonnie Clyde,slots
143,golden-buffalo,Golden Buffalo,slots
140,detective-221b,Detective 221b,slots
195,petz,Petz,slots
194,hit-it-quick,Hit It Quick,slots
182,wisps,Wisps,slots
164,rounders,Rounders,slots
163,luck-and-fortune,Luck And Fortune,slots
157,lenny-leprechaun,Lenny Leprechaun,slots
153,big-fat-turkey,Big Fat Turkey,slots
147,licky-luck,Licky Luck,slots
129,st.-pattys-gold,St. Pattys Gold,slots
128,sugar-kisses,Sugar Kisses,slots
127,sugar&ice-christmas-edition,Sugar&ICE Christmas Edition,slots
126,ra-to-riches,Ra to Riches,slots
125,sugar-&-ice,Sugar & Ice,slots
187,genies-jewels,Genies Jewels,slots
174,sushi-swap,Sushi Swap,slots
134,smiley-veggies,Smiley Veggies,slots
133,advent-wins,Advent Wins,slots
132,haunted-house,Haunted House,slots
131,friends-in-wild,FriEndS in Wild,slots
130,friends-in-wild-2,FriEndS in Wild 2,slots
122,bunny-burger,Bunny Burger,slots
121,gold-rush-88,Gold Rush 88,slots
120,happy-rabbit,HAPPY Rabbit,slots
119,clash-of-the-sea-gods,Clash of the Sea Gods,slots
118,mama-mia,Mama Mia,slots
117,pharaohs-empire,Pharaohs Empire,slots
116,lucky-lotus,Lucky Lotus,slots
115,robin-in-babeland,Robin in Babeland,slots
114,tiki-vikings,Tiki Vikings,slots
113,geisha,Geisha,slots
112,shogun-warriors,Shogun Warriors,slots
111,ninjas-path,Ninjas Path,slots
110,angry-bulls,Angry Bulls,slots
109,monster-party,Monster Party,slots
108,elfs-christmas,Elfs Christmas,slots
107,treasure-of-egypt,Treasure of Egypt,slots
106,golden-7s,Golden 7s,slots
105,draculas-castle,Draculas Castle,slots
104,book-of-magic,Book of Magic,slots
103,aladdin,Aladdin,slots
102,captain-silver,Captain Silver,slots
101,aztec-sun,Aztec Sun,slots
99,candy-spins,Candy Spins,slots
98,candy-tower,Candy Tower,slots
97,lucky-horseshoe,Lucky Horseshoe,slots
96,magic-magic,Magic Magic,slots
95,flaming-7s,Flaming 7s,slots
94,cash-n-carry,Cash n Carry,slots
93,bulls-battle,Bulls Battle,slots
92,cash-pot,Cash Pot,slots
91,kingdom-treasures,Kingdom Treasures,slots
90,big-lion,Big Lion,slots
89,royal-rush,Royal Rush,slots
88,zeus,Zeus,slots
87,poseidon,Poseidon,slots
86,cleopatra-vi,Cleopatra VI,slots
85,poseidon-ii,Poseidon II,slots
84,mermaids-realm,Mermaids Realm,slots
83,romeo-and-juliet,Romeo and Juliet,slots
82,merlin,Merlin,slots
81,lucky-8,Lucky 8,slots
80,emperor,Emperor,slots
79,pyramids,Pyramids,slots
78,desert-treasures,Desert Treasures,slots
77,greek-legends,Greek Legends,slots
76,roman-gold,Roman Gold,slots
75,vegas-night,Vegas Night,slots
74,fruit-frenzy,Fruit Frenzy,slots
73,fruit-galore,Fruit Galore,slots
72,cash-spins,Cash Spins,slots
71,bananas,Bananas,slots
70,fruit-salad,Fruit Salad,slots
69,cash-dash,Cash Dash,slots
68,fruit-7s,Fruit 7s,slots
67,hot-7s,Hot 7s,slots
66,fruit-basket,Fruit Basket,slots
65,fruit-kingdom,Fruit Kingdom,slots
64,fruit-paradise,Fruit Paradise,slots
63,fruit-magic,Fruit Magic,slots
62,fruit-legend,Fruit Legend,slots
61,fruit-nova,Fruit Nova,slots
60,fruit-explosion,Fruit Explosion,slots
59,fruit-cash,Fruit Cash,slots
58,fruit-gold,Fruit Gold,slots
57,fruit-burst,Fruit Burst,slots
56,fruit-rush,Fruit Rush,slots
