15727,EGIGame,Big Max Clover Collect
15728,EGIGame,Horus Treasure
AlohaSpirit,EGIGame,Aloha Spirit XtraLock
BuffaloRiches,EGIGame,Buffalo Riches
GoldenReindeer,EGIGame,Golden Reindeer
MysticBear,EGIGame,Mystic Bear XtraHold™
MonsterDisco,EGIGame,Monster Disco XtraHold
ElectricElements,EGIGame,Electric Elements
CashJoker,EGIGame,Cash Joker
JadeBlade,EGIGame,Jade Blade XtraSplit
DynamiteBoost,EGIGame,Dynamite Boost
OlympusWilds,EGIGame,Olympus Wilds
TheCrownReloaded,EGIGame,The Crown Reloaded
Chessmas,EGIGame,Chessmas
LollyLand,EGIGame,Lolly Land
WildWildNorth,EGIGame,Wild Wild North
LightningJungle,EGIGame,Lightning Jungle
ThorsStrike,EGIGame,Capsule Treasure Thors Strike
TRexGold,EGIGame,T-Rex Gold
BabelBuilder,EGIGame,Babel Builder
CheshiresLuck,EGIGame,Cheshires Luck
YellowSlotmarine,EGIGame,Yellow Slotmarine
RubyRobbery,EGIGame,Ruby Robbery
CleopatrasDiary,EGIGame,Cleopatras Diary
TritonsSecret,EGIGame,Tritons Secret
WilliamsQuest,EGIGame,William's Quest
